A_0,A_1,A_2,R_0,R_1,R_2,R_3,R_4,R_5,R_6,R_7,class,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count
0.0,0.0,#,#,0.0,1.0,#,#,#,1.0,1.0,0.0,0.21720617794361205,0.7368421052631579,2,48.253384266478236,4966,1511,0.5454545454545454,0.001419231963908021,42,57
#,0.0,#,1.0,1.0,#,#,#,1.0,#,#,1.0,0.5215668920190042,0.8779342723004695,1,51.52321181815789,4997,1561,0.36363636363636365,0.0007577021820035554,187,213
0.0,0.0,#,#,0.0,#,#,0.0,0.0,#,1.0,0.0,0.1823861694344157,0.7115384615384616,1,33.47882362236989,4973,1573,0.5454545454545454,0.000492340768644434,37,52
1.0,1.0,#,#,0.0,#,#,#,#,1.0,1.0,1.0,1.0,1.0,4,59.38553353266385,4965,1580,0.45454545454545453,0.003493303056956318,102,102
1.0,1.0,0.0,#,#,#,#,#,#,1.0,0.0,1.0,1.0,1.0,2,47.058882129572126,4981,1583,0.45454545454545453,0.0013840991822508535,106,106
#,#,1.0,0.0,0.0,#,0.0,#,#,1.0,0.0,0.0,0.534824985896467,0.8823529411764706,1,47.30052708313237,4958,1617,0.5454545454545454,0.0006956032303905593,45,51
1.0,1.0,#,1.0,#,#,#,#,#,1.0,1.0,1.0,1.0,1.0,1,59.77808382282216,4970,1618,0.45454545454545453,0.0008790986227411626,110,110
1.0,0.0,#,#,#,0.0,#,0.0,0.0,#,#,0.0,1.0,1.0,2,61.091466857302464,4939,1626,0.45454545454545453,0.0017968265605391735,108,108
0.0,1.0,1.0,#,#,#,0.0,#,#,#,#,0.0,1.0,1.0,6,47.35994464174983,4991,1638,0.36363636363636365,0.004178862162700993,212,212
#,0.0,#,0.0,0.0,1.0,#,#,#,#,#,0.0,0.21433501969516133,0.7348837209302326,1,52.36759679372692,4974,1662,0.36363636363636365,0.000770119737428821,158,215
#,0.0,#,1.0,1.0,#,1.0,0.0,#,0.0,#,1.0,0.1381412888330443,0.6730769230769231,1,56.2887991320221,4964,1668,0.5454545454545454,0.0008277850782132753,35,52
1.0,1.0,#,#,1.0,1.0,#,0.0,#,0.0,0.0,0.0,1.0,1.0,1,62.1559138289129,4955,1689,0.6363636363636364,0.0009140670752205463,28,28
1.0,0.0,#,#,0.0,#,#,1.0,1.0,#,#,1.0,1.0,1.0,2,51.757763778826224,4899,1710,0.45454545454545453,0.0015223030229268553,107,107
0.0,1.0,#,#,#,0.0,#,#,#,1.0,0.0,0.0,0.24486155808474971,0.7547169811320755,1,49.32658053346752,4826,1712,0.45454545454545453,0.0007253984443533999,80,106
#,1.0,1.0,#,#,#,1.0,#,#,#,1.0,1.0,1.0,1.0,8,57.344589876428806,4988,1720,0.36363636363636365,0.006746492595037539,197,197
#,1.0,#,#,#,0.0,0.0,#,#,#,0.0,0.0,0.542895639553125,0.885,1,52.546849215755664,4958,1737,0.36363636363636365,0.0007637367992812244,177,200
0.0,1.0,1.0,#,#,#,0.0,#,#,0.0,#,0.0,1.0,1.0,5,52.873046480739376,4969,1737,0.45454545454545453,0.0038877644923441005,104,104
#,#,#,0.0,#,#,#,#,1.0,0.0,0.0,0.0,0.095367431640625,0.625,1,48.61929315771243,4955,1738,0.36363636363636365,0.0007149970510977812,125,200
0.0,1.0,#,#,1.0,#,1.0,#,#,0.0,#,1.0,0.22578726766449214,0.7425742574257426,1,56.88502794306095,4988,1743,0.45454545454545453,0.0008287775267367326,75,101
1.0,0.0,#,#,1.0,#,#,1.0,1.0,#,#,1.0,1.0,1.0,1,53.776556992425,4980,1766,0.45454545454545453,0.0007908399561270945,104,104
0.0,1.0,1.0,0.0,0.0,#,1.0,#,1.0,#,0.0,1.0,1.0,1.0,1,39.8505472,4569,1769,0.7272727272727273,0.0005860435617648037,11,11
#,0.0,#,0.0,0.0,#,#,#,#,1.0,0.0,0.0,0.258404413658952,0.7628865979381443,1,50.88106466494181,4974,1794,0.45454545454545453,0.000748258743172987,74,97
1.0,#,#,#,1.0,#,#,1.0,1.0,#,#,1.0,0.2373046875,0.75,1,51.53853867316794,4980,1808,0.36363636363636365,0.0007579275792774163,156,208
#,0.0,0.0,#,1.0,#,#,1.0,#,#,1.0,1.0,0.27869847841585954,0.7745098039215687,1,55.52075160358241,4997,1839,0.45454545454545453,0.0008164901439953721,79,102
1.0,#,0.0,#,1.0,#,#,1.0,0.0,1.0,#,1.0,1.0,1.0,2,56.58655926722308,4867,1839,0.5454545454545454,0.0016643278986632622,50,50
1.0,1.0,0.0,#,1.0,#,#,#,#,0.0,0.0,0.0,1.0,1.0,3,50.20930136245031,4955,1863,0.5454545454545454,0.0022151393045995206,52,52
1.0,0.0,#,#,1.0,#,#,0.0,0.0,#,#,0.0,1.0,1.0,4,57.87672092401076,4982,1901,0.45454545454545453,0.003404548449821518,93,93
#,0.0,1.0,#,0.0,#,#,#,0.0,#,0.0,0.0,1.0,1.0,1,51.49609171141418,4974,1913,0.45454545454545453,0.0007573033527510546,92,92
1.0,1.0,#,#,#,1.0,#,#,#,0.0,0.0,0.0,1.0,1.0,5,54.27844038628554,4983,1915,0.45454545454545453,0.003991103355667013,101,101
1.0,1.0,0.0,0.0,#,#,#,#,#,1.0,0.0,1.0,1.0,1.0,2,45.583219018750455,4942,1931,0.5454545454545454,0.0013406968740671977,48,48
1.0,#,1.0,#,1.0,#,1.0,1.0,#,#,1.0,1.0,0.18183912073024103,0.7111111111111111,1,59.77898709646059,4794,1938,0.5454545454545454,0.0008791119063153543,32,45
0.0,1.0,#,#,#,0.0,#,#,#,#,0.0,0.0,0.2373046875,0.75,1,53.583510779549854,4975,1940,0.36363636363636365,0.0007827932764778104,147,196
#,1.0,0.0,#,#,#,#,#,#,1.0,#,1.0,0.23213259574482895,0.7467018469656992,2,59.15673356502007,4986,1950,0.2727272727272727,0.0017399220475856289,283,379
1.0,0.0,1.0,#,#,#,#,0.0,0.0,#,#,0.0,1.0,1.0,1,64.30363564695179,4939,1951,0.45454545454545453,0.000945651548517904,89,89
0.0,#,#,1.0,#,#,1.0,0.0,#,#,#,1.0,0.2750776199559605,0.7724867724867724,1,50.7489370223772,4988,1954,0.36363636363636365,0.0007159805631083957,146,189
1.0,0.0,#,#,#,#,#,0.0,0.0,#,1.0,0.0,1.0,1.0,3,64.11130906963659,4939,2002,0.45454545454545453,0.0028284695611337043,97,97
#,1.0,1.0,0.0,#,#,1.0,#,#,#,1.0,1.0,1.0,1.0,1,55.20546123875256,4965,2008,0.45454545454545453,0.0008118534726977943,85,85
0.0,1.0,1.0,#,#,#,1.0,#,#,#,#,1.0,1.0,1.0,6,53.18484237808026,4988,2008,0.36363636363636365,0.004692829080020738,185,185
