A_0,A_1,A_2,R_0,R_1,R_2,R_3,R_4,R_5,R_6,R_7,class,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count
#,#,0.0,#,1.0,#,#,#,#,0.0,1.0,0.0,0.11314769000017233,0.6467391304347826,1,71.2754272541875,4994,2210,0.36363636363636365,0.0007512871756301332,119,184
#,#,0.0,0.0,#,#,#,#,1.0,0.0,0.0,0.0,0.215428722873831,0.735632183908046,1,68.61159015580901,4926,2213,0.45454545454545453,0.0007232086817216737,64,87
1.0,#,0.0,#,#,#,#,#,#,0.0,#,0.0,0.24643073125878645,0.7556818181818182,3,81.41815138945412,4988,2213,0.2727272727272727,0.0025745933216618864,266,352
#,1.0,0.0,#,#,1.0,#,#,#,#,1.0,1.0,0.24432505180968345,0.7543859649122807,2,74.85251170864055,4961,2225,0.36363636363636365,0.0015779837252985986,129,171
#,#,#,#,0.0,1.0,#,1.0,#,#,1.0,1.0,0.1079783116830278,0.6407185628742516,1,73.31584064248548,4950,2240,0.36363636363636365,0.0007727943972725294,107,167
1.0,0.0,0.0,#,#,#,#,1.0,#,#,#,1.0,1.0,1.0,13,83.26634734329194,4993,2251,0.36363636363636365,0.011409825760388605,165,165
#,1.0,#,#,#,0.0,#,#,#,0.0,#,0.0,0.2395733582517761,0.7514285714285714,2,72.8619084700688,4994,2258,0.2727272727272727,0.0015360193417089118,263,350
1.0,#,0.0,#,1.0,#,#,#,0.0,1.0,#,1.0,0.22367019619581413,0.7411764705882353,1,70.3046318957738,4990,2269,0.45454545454545453,0.0007410543909098616,63,85
1.0,#,0.0,1.0,#,#,#,0.0,0.0,#,#,0.0,0.23279332323579968,0.7471264367816092,1,82.37448652992147,4988,2279,0.45454545454545453,0.0008682781389488089,65,87
1.0,1.0,#,#,#,#,#,#,#,0.0,0.0,0.0,1.0,1.0,12,76.59368706443232,4988,2289,0.36363636363636365,0.009548803352391357,174,174
